Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 14.29      0.01     0.01       21   476.19   476.19  double& Teuchos::ParameterList::get<double>(std::string const&)
 14.29      0.02     0.01                             void Kokkos::parallel_for<Kokkos::Impl::fill_random_functor_begin_end<Kokkos::Experimental::View<double**, Kokkos::LayoutLeft, Kokkos::Serial, void>, Kokkos::Random_XorShift64_Pool<Kokkos::Serial>, 128, 2, long> >(unsigned long, Kokkos::Impl::fill_random_functor_begin_end<Kokkos::Experimental::View<double**, Kokkos::LayoutLeft, Kokkos::Serial, void>, Kokkos::Random_XorShift64_Pool<Kokkos::Serial>, 128, 2, long> const&, std::string const&)
 14.29      0.03     0.01                             Tpetra::CrsMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>::insertGlobalValues(int, Teuchos::ArrayView<int const> const&, Teuchos::ArrayView<double const> const&)
 14.29      0.04     0.01                             Teuchos::any::holder<unsigned int>::clone() const
 14.29      0.05     0.01                             std::vector<Teuchos::RCP<Ifpack2::Container<Tpetra::RowMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >, std::allocator<Teuchos::RCP<Ifpack2::Container<Tpetra::RowMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > > > >::~vector()
  7.14      0.06     0.01                             MueLu::Hierarchy<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::Hierarchy()
  7.14      0.06     0.01                             MueLu::Hierarchy<double, int, long long, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::Hierarchy()
  7.14      0.07     0.01                             Teuchos::RCPNodeTmpl<Epetra_Map, Teuchos::DeallocDelete<Epetra_Map> >::~RCPNodeTmpl()
  7.14      0.07     0.01                             Teuchos::RCP<Tpetra::Map<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > const>::operator=(Teuchos::RCP<Tpetra::Map<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > const> const&)
  0.00      0.07     0.00    35029     0.00     0.00  Teuchos::RCPNodeHandle::unbind()
  0.00      0.07     0.00      932     0.00     0.00  frame_dummy
  0.00      0.07     0.00      511     0.00     0.00  Teuchos::any::holder<int>::~holder()
  0.00      0.07     0.00      501     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex>, std::_Select1st<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > >::find(std::string const&) const
  0.00      0.07     0.00      479     0.00     0.00  Teuchos::StringIndexedOrderedValueObjectContainer<Teuchos::ParameterEntry>::setObj(std::string const&, Teuchos::ParameterEntry const&)
  0.00      0.07     0.00      425     0.00     0.00  Teuchos::any::holder<int>::clone() const
  0.00      0.07     0.00      409     0.00     0.00  Teuchos::any::holder<bool>::type() const
  0.00      0.07     0.00      404     0.00     0.00  Teuchos::TimeMonitorSurrogateImplInserter::TimeMonitorSurrogateImplInserter()
  0.00      0.07     0.00      391     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex>, std::_Select1st<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<std::string const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<std::string const, Teuchos::StringIndexedOrderedValueObjectContainerBase::OrdinalIndex> >, std::piecewise_construct_t const&, std::tuple<std::string const&>&&, std::tuple<>&&)
  0.00      0.07     0.00      367     0.00     0.00  Teuchos::any::holder<bool>::~holder()
  0.00      0.07     0.00      318     0.00     0.00  Teuchos::any::holder<bool>::clone() const
  0.00      0.07     0.00      317     0.00     0.00  Teuchos::any::holder<std::string>::~holder()
  0.00      0.07     0.00      278     0.00     0.00  Teuchos::any::holder<std::string>::clone() const
  0.00      0.07     0.00      250     0.00     0.00  Teuchos::any::holder<double>::type() const
  0.00      0.07     0.00      234     0.00     0.00  Teuchos::any::holder<int>::type() const
